slide_id,label,source_uri
normal_001,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_001.tif
normal_002,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_002.tif
normal_003,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_003.tif
normal_004,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_004.tif
normal_005,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_005.tif
normal_007,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_007.tif
normal_008,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_008.tif
normal_009,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_009.tif
normal_010,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_010.tif
normal_012,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_012.tif
normal_013,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_013.tif
normal_014,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_014.tif
normal_015,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_015.tif
normal_016,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_016.tif
normal_018,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_018.tif
normal_019,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_019.tif
normal_020,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_020.tif
normal_021,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_021.tif
normal_022,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_022.tif
normal_023,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_023.tif
normal_024,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_024.tif
normal_025,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_025.tif
normal_026,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_026.tif
normal_027,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_027.tif
normal_028,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_028.tif
normal_029,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_029.tif
normal_030,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_030.tif
normal_031,0,https://camelyon-dataset.s3.us-west-2.amazonaws.com/CAMELYON16/images/normal_031.tif
